Country,City,PropertyType,Bedrooms,AreaAveragePrice,BillsIncludedCost,Price,DepositAmount,LandlordVerified,ReputationScore,NationalityMismatch,ThumbsUpCount,ThumbsDownCount,AverageReviewRating,RentalDescription,Reviews,ScenarioType,IsScam,PriceRatio,DepositRatio,ThumbsRatio,DescriptionScamScore,IsNewListing
Canada,Hamilton,Apartment,3,2010.0,359.9981114097221,2391.1785817542413,2897.7133165211103,1,85.36103494403845,0,1,7,3.8323604919771657,Clean studio in quiet neighborhood with good sunlight,reliable landlord and smooth move in process,legit_normal,0,1.0085113818722193,1.4409315348190503,0.1111111111111111,0.0,0
Thailand,Bangkok,Studio,1,640.0,88.54988430296068,847.3494655101819,743.007592316485,1,89.53258247886383,0,17,0,3.9391292977746213,Spacious room in shared apartment close to city center,mixed experience,legit_normal,0,1.161468850508792,1.1591382095420983,0.9444444444444444,0.0,0
France,Nantes,Studio,1,706.4000000000001,48.157126031236075,762.0884604514663,895.9007047039486,1,80.60603751344544,0,27,2,4.085149324018748,Spacious room in shared apartment close to city center,"good experience, apartment matched photos",legit_normal,0,1.0086443952352586,1.2664697550239588,0.9,0.0,0
Singapore,Orchard / River Valley,Apartment,1,3310.0,465.9469555113767,4225.286291989335,7557.258388590385,1,99.30634146459158,0,19,9,3.902506911958138,Clean studio in quiet neighborhood with good sunlight,not bad,legit_normal,0,1.1187041654963503,2.282470066019446,0.6551724137931034,0.0,0
Colombia,Medellin,Studio,1,688.0,46.63567921495138,707.4499592689093,602.3115533810461,1,75.57856716035053,1,9,13,4.03202914911892,Spacious room in shared apartment close to city center,professional communication and returned deposit on time,legit_normal,0,0.9616852189984573,0.8741822255167577,0.391304347826087,0.0,0
Kazakhstan,Kostanay,Apartment,2,490.0,72.72442346560243,567.635899466324,868.6902867804333,1,61.0244467674453,0,11,8,3.977271017715869,Well maintained property with clear contract terms,professional communication and returned deposit on time,legit_normal,0,1.006938631426815,1.7692266533206382,0.55,0.0,0
Austria,Salzburg,Studio,1,1083.2,48.86159923167334,1191.7640609598113,1295.4384189899074,1,95.33212408284466,0,12,4,4.582587645580338,urgent half price apartment no viewing deposit before viewing,"good experience, apartment matched photos",legit_normal,0,1.0518087116957666,1.1948334430823717,0.7058823529411765,0.9999999999999999,0
Czech Republic,Olomouc,Apartment,2,777.0,111.50451871796938,921.6494277491981,1320.5464133870569,1,66.71676719259203,0,11,1,4.081282502735184,Recently updated apartment with washing machine and wifi,overall positive and responsive host,legit_normal,0,1.036137994079624,1.697360428518068,0.8461538461538461,0.0,0
Kazakhstan,Ust-Kamenogorsk,Studio,1,296.0,48.84182381588602,343.669603463459,412.05529360951294,1,63.760958639061116,0,28,4,5.0,Spacious room in shared apartment close to city center,professional communication and returned deposit on time,legit_normal,0,0.9937190351113131,1.387391560974791,0.8484848484848485,0.0,0
France,Nice,Apartment,2,1708.0,97.37737277920465,1829.7667902219096,2179.0799388787386,1,67.42467794699044,0,27,3,3.4783271968479754,Bright apartment near metro and university,"decent listing, no major problems",legit_normal,0,1.01294824536399,1.2750614036739254,0.8709677419354839,0.0,0
Thailand,Bangkok,Apartment,3,3500.0,344.79565056316187,4220.908402783851,8125.783162631211,1,72.67649995928087,0,31,9,3.414506368610289,Clean studio in quiet neighborhood with good sunlight,reliable landlord and smooth move in process,legit_normal,0,1.097538399411773,2.3209891924110857,0.7560975609756098,0.0,0
Lithuania,Vilnius,Studio,1,612.0,55.638836616563616,649.5217440702355,1459.26968041888,1,81.90081694513384,0,9,9,4.5856712876067345,Well maintained property with clear contract terms,reliable landlord and smooth move in process,legit_normal,0,0.9714089408221274,2.3805378147126914,0.47368421052631576,0.0,0
Kazakhstan,Karaganda,Studio,1,280.0,30.80700085121688,337.7462476324055,406.70899056530675,1,60.48662023235656,1,22,4,4.522708376266359,Clean studio in quiet neighborhood with good sunlight,professional communication and returned deposit on time,legit_normal,0,1.083190071776374,1.4473629557484227,0.8148148148148148,0.0,0
Switzerland,Canton Of Aargau,Studio,1,1601.6000000000001,165.73487183222892,2046.8315170650578,1796.4743641696887,1,81.75125566061786,0,12,9,5.0,cheap room no viewing available today deposit first,"decent listing, no major problems",legit_normal,0,1.157490897040485,1.1209748934042734,0.5454545454545454,0.3,0
Italy,Palermo,Studio,1,659.2,128.1842874389564,810.6919110325608,1365.1143555884628,1,61.72432097501228,1,21,8,5.0,Well maintained property with clear contract terms,mixed experience,legit_normal,0,1.0282953680698914,2.0677284998310554,0.7,0.0,0
Taiwan,Taipei,Studio,1,776.0,127.667956332716,964.159754570961,851.008847492969,1,94.11402024802827,0,23,4,4.193520390039563,Spacious room in shared apartment close to city center,professional communication and returned deposit on time,legit_normal,0,1.06576092125492,1.095249481972933,0.8214285714285714,0.0,0
