country,city,property_type,bedrooms,furnished,amenities_count,amenities_list,included_bills,included_bills_total,price,area_average_rent,deposit_amount,landlord_verified,reputation_score,nationality_mismatch,min_stay_months,thumbs_up_count,thumbs_down_count,average_review_rating,rental_description,reviews,is_scam,label
France,Toulouse,flat,3,1,5,"Bike Storage, Concierge, Dishwasher, Gym, Washing Machine","Electricity, Gas/Heating, Laundry Room, WiFi",140,1248,1248,1914,1,58,FALSE,3,44,1,4,"Modern apartment in a sought-after development. Concierge service, gym included in building.",Communication with landlord was excellent. Very reasonable person.,0,Not Scam
Georgia,Tbilisi,house,2,0,6,"Balcony, Bike Storage, CCTV/Security, Dishwasher, Garden, Parking","Council Tax, Gas/Heating, Gym",195,539,786.6,853,0,57,FALSE,6,19,8,4,Immaculate flat on a high floor with panoramic views. Recently refurbished throughout.,Property was exactly as described. Would recommend to others.,0,Not Scam
Georgia,Batumi,flat,2,1,7,"Balcony, CCTV/Security, Concierge, Dishwasher, Garden, Laundry Room, Lift/Elevator","Council Tax, Electricity, TV Licence",193,494,600,299,0,17,TRUE,3,5,21,3,"Urgent let! Owner moving abroad, needs reliable tenant immediately. No agent fees. Low deposit.",Multiple people reporting this same listing on local Facebook groups.,1,Scam
Germany,Berlin,studio,0,0,11,"Balcony, Bike Storage, Dishwasher, Garden, Gym, Laundry Room, Lift/Elevator, Parking, Pool, Washing Machine, WiFi","Council Tax, Electricity, TV Licence, WiFi",218,1132,1132,454,0,32,TRUE,1,5,28,1,Best deal in the city â priced to go fast. No viewings before deposit secured. Safe neighbourhood.,Deposit demanded before any contract or tenancy agreement provided.,1,Scam
Germany,Munich,flat,2,1,7,"Bike Storage, Concierge, Dishwasher, Garden, Lift/Elevator, Washing Machine, WiFi","Council Tax, Gym",155,2238,2238,283,0,41,TRUE,3,11,17,1,Dream flat in city centre at student budget prices. Contact via email. Looking for trustworthy person only.,Agent said they would send keys by post. This is a known scam method.,1,Scam
Germany,Frankfurt Am Main,house,3,1,4,"Bike Storage, CCTV/Security, Dishwasher, Gym","Electricity, Gas/Heating, Laundry Room, WiFi",140,2979.65,2979.65,3149,1,79,FALSE,6,5,3,4,"Modern apartment in a sought-after development. Concierge service, gym included in building.",Communication with landlord was excellent. Very reasonable person.,0,Not Scam
Germany,Stuttgart,flat,1,0,6,"Bike Storage, Concierge, Laundry Room, Lift/Elevator, Parking, WiFi","Electricity, Gym, Laundry Room",110,1649,1319,1267,0,47,FALSE,3,36,5,5,"Clean and comfortable flat, professionally managed. References and credit check required.",Clean flat on move-in. Deposit returned promptly at end of tenancy.,0,Not Scam
Germany,Hamburg,flat,2,1,7,"Balcony, CCTV/Security, Dishwasher, Garden, Lift/Elevator, Parking, Washing Machine",Gym,35,1413,1413,5759,1,91,FALSE,3,35,4,3,Charming flat on a quiet side street. Period features with modern upgrades throughout.,Lived here for 2 years with no problems. Great neighbours too.,0,Not Scam
Germany,D�sseldorf,flat,3,1,7,"Balcony, Bike Storage, CCTV/Security, Dishwasher, Gym, Lift/Elevator, Pool",,0,1554,1554,1162,0,24,TRUE,1,8,8,2,Stunning penthouse available for a fraction of the price. I am relocating and just need a good tenant.,Tried calling the number given and it does not connect to anyone.,1,Scam
Germany,Cologne,studio,0,0,7,"Balcony, CCTV/Security, Dishwasher, Garden, Parking, Pool, Washing Machine","Council Tax, Gym, TV Licence, WiFi",198,753.6,753.6,574,0,42,TRUE,6,1,26,1,"Property listed by owner, not agent. Currently stationed abroad with UN. Deposit secures property.",Found the exact same listing posted under three different names.,1,Scam
Germany,Leipzig,flat,3,1,6,"Dishwasher, Laundry Room, Parking, Pool, Washing Machine, WiFi",TV Licence,18,1531,1531,515,0,24,TRUE,3,10,9,2,"Very cheap, very clean, very central. Email me for more details. Cannot meet in person currently.",Landlord became aggressive when I asked for a viewing. Walk away.,1,Scam
Greece,Athens,flat,2,0,12,"Balcony, Bike Storage, CCTV/Security, Concierge, Dishwasher, Garden, Gym, Lift/Elevator, Parking, Pool, Washing Machine, WiFi","Electricity, Gas/Heating, TV Licence",113,1020,1020,228,0,51,TRUE,6,0,19,1,"Incredible opportunity â 3 bed house at 1 bed price. I am a Christian landlord, very trustworthy.",Could not verify this property exists. Address appeared to be fake.,1,Scam
Greece,Thessaloniki,flat,3,0,7,"Balcony, Bike Storage, Concierge, Dishwasher, Laundry Room, Lift/Elevator, WiFi","Laundry Room, Parking, WiFi",125,942,942,617,0,11,FALSE,3,3,5,1,Flat available below market rate due to personal reasons. Deposit required before viewing can be arranged.,Landlord refused every request for a viewing before payment.,1,Scam
Greece,Heraklion,flat,2,1,9,"Balcony, Bike Storage, Concierge, Dishwasher, Garden, Parking, Pool, Washing Machine, WiFi","Gas/Heating, TV Licence",58,883,883,1927,1,26,FALSE,1,2,14,2,"Excellent location, excellent price. Owner living outside country. Send first month to reserve this gem.",Sent deposit and then received no further replies from the landlord.,1,Scam
Greece,Patra,studio,0,1,4,"Gym, Pool, Washing Machine, WiFi","Laundry Room, Water",35,424,424,1175,1,90,TRUE,3,42,5,4,Bright studio with mezzanine sleeping area. Compact but cleverly designed with good storage.,Landlord respected our privacy and handled maintenance well.,0,Not Scam
Greece,Volos,flat,1,1,2,"Bike Storage, Parking","Laundry Room, Water",35,589,589,1657,0,50,FALSE,12,25,6,5,Family home with south-facing garden and off-street parking. Well-regarded school catchment.,Straightforward process from viewing to move-in. Very professional.,0,Not Scam
Greece,Kavala,house,3,1,5,"Bike Storage, Dishwasher, Lift/Elevator, Parking, WiFi","Gas/Heating, TV Licence",58,743.75,743.75,4100,1,54,TRUE,3,14,7,3,Newly built apartment with high specification throughout. Smart heating system installed.,Property was well maintained throughout our stay. Highly recommend.,0,Not Scam
